initial,thisN,thisTrialN,thisRepN,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,trial.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
batent4.mp4,0,0,0,0,0,0,3,0.03164610010571778,,0.025678599951788783,0.026043100049719214,816993,001,2025-03-12_11h08.43.488,norming,2024.2.4,60.095503774222955,2025-03-12 11h08.48.595666 -0500,
batent3.mp4,1,1,0,0,1,1,2,0.03164610010571778,,0.02614750014618039,0.02656799997203052,816993,001,2025-03-12_11h08.43.488,norming,2024.2.4,60.095503774222955,2025-03-12 11h08.48.595666 -0500,
batent1.mp4,2,2,0,0,2,2,0,0.03164610010571778,,0.026650600135326385,0.02704529999755323,816993,001,2025-03-12_11h08.43.488,norming,2024.2.4,60.095503774222955,2025-03-12 11h08.48.595666 -0500,
batent2.mp4,3,3,0,0,3,3,1,0.03164610010571778,,0.02712840004824102,0.027462900150567293,816993,001,2025-03-12_11h08.43.488,norming,2024.2.4,60.095503774222955,2025-03-12 11h08.48.595666 -0500,
